Id,Label,timeset,Cluster,pageranks
Platycentropus radiatus,Platycentropus radiatus,,0,0.000014
Peripsocus subfasciatus,Peripsocus subfasciatus,,0,0.000014
Isoperla similis,Isoperla similis,,0,0.000014
Euhadenoecus puteanus,Euhadenoecus puteanus,,0,0.000014
Phaecasiophora confixana,Phaecasiophora confixana,,0,0.000014
Acleris nigrolinea,Acleris nigrolinea,,0,0.000014
Nadata gibbosa,Nadata gibbosa,,0,0.000014
Mythimna unipuncta,Mythimna unipuncta,,0,0.000015
Metaxaglaea inulta,Metaxaglaea inulta,,0,0.000014
Lithophane unimoda,Lithophane unimoda,,0,0.000014
Eupsilia morrisoni,Eupsilia morrisoni,,0,0.000014
Malacosoma disstria,Malacosoma disstria,,0,0.000022
Prochoerodes lineola,Prochoerodes lineola,,0,0.000014
Melanolophia canadaria,Melanolophia canadaria,,0,0.000014
Lomographa glomeraria,Lomographa glomeraria,,0,0.000014
Idia lubricalis,Idia lubricalis,,0,0.000014
Habrosyne scripta,Habrosyne scripta,,0,0.000014
Maccaffertium vicarium,Maccaffertium vicarium,,0,0.000014
Maccaffertium meririvulanum,Maccaffertium meririvulanum,,0,0.000014
Ephemerella dorothea,Ephemerella dorothea,,1,0.000014
Diphetor hageni,Diphetor hageni,,1,0.000029
Ameletus lineatus,Ameletus lineatus,,0,0.000014
Tipula submaculata,Tipula submaculata,,0,0.000014
Tipula abdominalis,Tipula abdominalis,,0,0.000014
Hybomitra lasiophthalma,Hybomitra lasiophthalma,,0,0.000014
Chrysops montanus,Chrysops montanus,,0,0.000014
Chrysops carbonarius,Chrysops carbonarius,,0,0.000014
Temnostoma balyras,Temnostoma balyras,,0,0.000014
Temnostoma alternans,Temnostoma alternans,,0,0.000014
Scathophaga stercoraria,Scathophaga stercoraria,,0,0.000014
Hexatoma spinosa,Hexatoma spinosa,,0,0.000014
Epiphragma fasciapenne,Epiphragma fasciapenne,,0,0.000014
Anyphaena pectorosa,Anyphaena pectorosa,,0,0.000014
Pityohyphantes costatus,Pityohyphantes costatus,,0,0.000014
Naphrys pulex,Naphrys pulex,,0,0.000014
Pterostichus nimius,Pterostichus nimius,,0,0.000014
Athous brightwelli,Athous brightwelli,,0,0.000014
Athous neacanthus,Athous neacanthus,,0,0.000014
Capnochroa fuliginosa,Capnochroa fuliginosa,,0,0.000014
Laphria posticata,Laphria posticata,,0,0.000014
Calliphora vomitoria,Calliphora vomitoria,,0,0.000014
Phormia regina,Phormia regina,,0,0.000014
Bubo virginianus,Bubo virginianus,,0,0.000014
Gallus gallus,Gallus gallus,,0,0.000024
Mus musculus,Mus musculus,,0,0.000039
Megascops asio,Megascops asio,,0,0.000015
Rattus norvegicus,Rattus norvegicus,,0,0.000018
Cyanocitta cristata,Cyanocitta cristata,,0,0.000016
Corvus brachyrhynchos,Corvus brachyrhynchos,,0,0.000015
Bonasa umbellus,Bonasa umbellus,,0,0.000019
Columba livia,Columba livia,,0,0.00002
Sciurus niger,Sciurus niger,,0,0.000016
Plectrophenax nivalis,Plectrophenax nivalis,,0,0.000016
Aythya marila,Aythya marila,,1,0.000016
Gallinula galeata,Gallinula galeata,,0,0.000014
Turdus migratorius,Turdus migratorius,,0,0.000064
Agelaius phoeniceus,Agelaius phoeniceus,,0,0.000027
Melospiza melodia,Melospiza melodia,,0,0.000018
Euphagus carolinus,Euphagus carolinus,,0,0.000014
Ondatra zibethicus,Ondatra zibethicus,,0,0.000025
Podilymbus podiceps,Podilymbus podiceps,,1,0.000031
Anas platyrhynchos,Anas platyrhynchos,,0,0.000026
Tringa flavipes,Tringa flavipes,,0,0.000014
Asio otus,Asio otus,,0,0.000014
Rallus elegans,Rallus elegans,,0,0.000014
Strix varia,Strix varia,,0,0.000014
Sciurus carolinensis,Sciurus carolinensis,,0,0.000034
Tyto alba,Tyto alba,,0,0.000047
Asio flammeus,Asio flammeus,,0,0.000017
Calidris maritima,Calidris maritima,,1,0.000015
Otiorhynchus nodosus,Otiorhynchus nodosus,,1,0.000015
Lagopus muta,Lagopus muta,,0,0.000021
Equisetum arvense,Equisetum arvense,,0,0.000067
Persicaria vivipara,Persicaria vivipara,,0,0.000014
Betula nana,Betula nana,,0,0.000126
Polytrichum juniperinum,Polytrichum juniperinum,,0,0.000018
Trichophorum cespitosum,Trichophorum cespitosum,,0,0.000014
Cochlearia groenlandica,Cochlearia groenlandica,,0,0.000014
Draba nivalis,Draba nivalis,,0,0.000014
Cerastium alpinum,Cerastium alpinum,,0,0.000014
Eriophorum angustifolium,Eriophorum angustifolium,,0,0.00008
Stellaria humifusa,Stellaria humifusa,,0,0.000014
Stellaria longipes,Stellaria longipes,,0,0.000026
Juncus trifidus,Juncus trifidus,,0,0.00003
Vaccinium uliginosum,Vaccinium uliginosum,,0,0.000244
Mitopus morio,Mitopus morio,,0,0.000014
Calcarius lapponicus,Calcarius lapponicus,,0,0.000023
Byrrhus arietinus,Byrrhus arietinus,,0,0.000014
Tadorna variegata,Tadorna variegata,,0,0.000014
Xanthocnemis zealandica,Xanthocnemis zealandica,,1,0.000017
Elodea canadensis,Elodea canadensis,,0,0.000049
Ranunculus fluitans,Ranunculus fluitans,,0,0.000015
Drepanocladus aduncus,Drepanocladus aduncus,,0,0.000014
Avena sativa,Avena sativa,,0,0.000169
Poa pratensis,Poa pratensis,,0,0.000238
Pratia angulata,Pratia angulata,,0,0.000014
Gaultheria depressa,Gaultheria depressa,,0,0.000018
Corokia cotoneaster,Corokia cotoneaster,,0,0.000014
Discaria toumatou,Discaria toumatou,,0,0.000014
Gunnera dentata,Gunnera dentata,,0,0.000014
Muehlenbeckia axillaris,Muehlenbeckia axillaris,,0,0.000028
Salix fragilis,Salix fragilis,,0,0.000148
Plantago lanceolata,Plantago lanceolata,,0,0.000273
Achillea millefolium,Achillea millefolium,,0,0.000466
Taraxacum officinale,Taraxacum officinale,,0,0.000341
Breutelia affinis,Breutelia affinis,,0,0.000014
Rumex acetosella,Rumex acetosella,,0,0.000186
Anisotome aromatica,Anisotome aromatica,,0,0.000014
Nertera granadensis,Nertera granadensis,,0,0.000033
Tadorna tadorna,Tadorna tadorna,,1,0.000015
Peringia ulvae,Peringia ulvae,,1,0.000096
Corophium volutator,Corophium volutator,,1,0.000094
Carcinus maenas,Carcinus maenas,,1,0.000059
Cerastoderma edule,Cerastoderma edule,,1,0.000034
Mytilus edulis,Mytilus edulis,,1,0.000153
Limecola balthica,Limecola balthica,,1,0.000018
Hediste diversicolor,Hediste diversicolor,,1,0.000028
Somateria mollissima,Somateria mollissima,,1,0.000026
Pylaiella littoralis,Pylaiella littoralis,,1,0.000023
Spongomorpha arcta,Spongomorpha arcta,,1,0.000015
Clupea harengus,Clupea harengus,,1,0.000229
Alitta virens,Alitta virens,,1,0.000025
Tectura testudinalis,Tectura testudinalis,,1,0.000019
Buccinum undatum,Buccinum undatum,,1,0.000019
Lacuna vincta,Lacuna vincta,,1,0.000019
Littorina saxatilis,Littorina saxatilis,,1,0.000024
Littorina obtusata,Littorina obtusata,,1,0.000022
Mya arenaria,Mya arenaria,,1,0.00006
Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,,1,0.000089
Plectropterus gambensis,Plectropterus gambensis,,0,0.000014
Stuckenia pectinata,Stuckenia pectinata,,0,0.000077
Panicum repens,Panicum repens,,0,0.000023
Zea mays,Zea mays,,0,0.001115
Helianthus annuus,Helianthus annuus,,0,0.000292
Sorghum arundinaceum,Sorghum arundinaceum,,0,0.000035
Urochloa panicoides,Urochloa panicoides,,0,0.000015
Eleusine indica,Eleusine indica,,0,0.000078
Cyperus esculentus,Cyperus esculentus,,0,0.000057
Phasianus colchicus,Phasianus colchicus,,0,0.000018
Glycine max,Glycine max,,0,0.000372
Penelope dabbenei,Penelope dabbenei,,0,0.000014
Podocarpus parlatorei,Podocarpus parlatorei,,0,0.00002
Celtis iguanaea,Celtis iguanaea,,0,0.000056
Myrsine coriacea,Myrsine coriacea,,0,0.000145
Ilex argentina,Ilex argentina,,0,0.000017
Viburnum seemanii,Viburnum seemanii,,0,0.000015
Oxyura jamaicensis,Oxyura jamaicensis,,1,0.000014
Fontigens nickliniana,Fontigens nickliniana,,1,0.00002
Sphaerium striatinum,Sphaerium striatinum,,1,0.000022
Ortalis vetula,Ortalis vetula,,0,0.000014
Vachellia farnesiana,Vachellia farnesiana,,0,0.000031
Celtis laevigata,Celtis laevigata,,0,0.000115
Ambrosia psilostachya,Ambrosia psilostachya,,0,0.000076
Capsicum annuum,Capsicum annuum,,0,0.000123
Guaiacum angustifolium,Guaiacum angustifolium,,0,0.000014
Karwinskia humboldtiana,Karwinskia humboldtiana,,0,0.000023
Fraxinus berlandieriana,Fraxinus berlandieriana,,0,0.000014
Rivina humilis,Rivina humilis,,0,0.000021
Ulmus crassifolia,Ulmus crassifolia,,0,0.000034
Ehretia anacua,Ehretia anacua,,0,0.000026
Sideroxylon lanuginosum,Sideroxylon lanuginosum,,0,0.000042
Solanum americanum,Solanum americanum,,0,0.000071
Stachys drummondii,Stachys drummondii,,0,0.000014
Forestiera angustifolia,Forestiera angustifolia,,0,0.000014
Ortalis canicollis,Ortalis canicollis,,0,0.000014
Achatocarpus praecox,Achatocarpus praecox,,0,0.000014
Jodina rhombifolia,Jodina rhombifolia,,0,0.000014
Cynophalla retusa,Cynophalla retusa,,0,0.000014
Numida meleagris,Numida meleagris,,0,0.000022
Boerhavia erecta,Boerhavia erecta,,0,0.000017
Stereospermum kunthianum,Stereospermum kunthianum,,0,0.000016
Sclerocarya birrea,Sclerocarya birrea,,0,0.000069
Annona senegalensis,Annona senegalensis,,0,0.00009
Hibiscus cannabinus,Hibiscus cannabinus,,0,0.000077
Sarkidiornis melanotos,Sarkidiornis melanotos,,0,0.000014
Echinochloa stagnina,Echinochloa stagnina,,0,0.000017
Aeschynomene nilotica,Aeschynomene nilotica,,0,0.000015
Nymphoides indica,Nymphoides indica,,0,0.000018
Aeschynomene fluitans,Aeschynomene fluitans,,0,0.000015
Sacciolepis africana,Sacciolepis africana,,0,0.000017
Digitaria ciliaris,Digitaria ciliaris,,0,0.00002
Heliotropium ovalifolium,Heliotropium ovalifolium,,0,0.000015
Nettapus auritus,Nettapus auritus,,0,0.000014
Digitaria ternata,Digitaria ternata,,0,0.000016
Persicaria limbata,Persicaria limbata,,0,0.000016
Brachiaria xantholeuca,Brachiaria xantholeuca,,0,0.000015
Echinochloa colona,Echinochloa colona,,0,0.000044
Mergus serrator,Mergus serrator,,1,0.000014
Dreissena polymorpha,Dreissena polymorpha,,1,0.000061
Neogobius melanostomus,Neogobius melanostomus,,1,0.00002
Perca flavescens,Perca flavescens,,1,0.000039
Morone americana,Morone americana,,1,0.000017
Pomoxis annularis,Pomoxis annularis,,1,0.000018
Lepomis macrochirus,Lepomis macrochirus,,1,0.00006
Ambloplites rupestris,Ambloplites rupestris,,1,0.000019
Carpiodes cyprinus,Carpiodes cyprinus,,1,0.000014
Notropis atherinoides,Notropis atherinoides,,1,0.00003
Dorosoma cepedianum,Dorosoma cepedianum,,1,0.000044
Anguilla anguilla,Anguilla anguilla,,1,0.000025
Gasterosteus aculeatus,Gasterosteus aculeatus,,1,0.000045
Phoxinus phoxinus,Phoxinus phoxinus,,1,0.000021
Salmo trutta,Salmo trutta,,1,0.000026
Salmo salar,Salmo salar,,1,0.000027
Mergus merganser,Mergus merganser,,1,0.000014
Catostomus commersonii,Catostomus commersonii,,1,0.000023
Salvelinus fontinalis,Salvelinus fontinalis,,1,0.000022
Oncorhynchus mykiss,Oncorhynchus mykiss,,1,0.000029
Dorosoma petenense,Dorosoma petenense,,1,0.00002
Squalius cephalus,Squalius cephalus,,1,0.000015
Ictalurus punctatus,Ictalurus punctatus,,1,0.000018
Aplodinotus grunniens,Aplodinotus grunniens,,1,0.000021
Couesius plumbeus,Couesius plumbeus,,1,0.000014
Semotilus corporalis,Semotilus corporalis,,1,0.000015
Luxilus cornutus,Luxilus cornutus,,1,0.000015
Rhinichthys atratulus,Rhinichthys atratulus,,1,0.000014
Meleagris gallopavo,Meleagris gallopavo,,0,0.000025
Ilex glabra,Ilex glabra,,0,0.000015
Sabal palmetto,Sabal palmetto,,0,0.000069
Isoetes flaccida,Isoetes flaccida,,0,0.000014
Baptisia tinctoria,Baptisia tinctoria,,0,0.000022
Fagus grandifolia,Fagus grandifolia,,0,0.000171
Tsuga canadensis,Tsuga canadensis,,0,0.000169
Melanitta nigra,Melanitta nigra,,1,0.000014
Melanitta perspicillata,Melanitta perspicillata,,1,0.000015
Protothaca staminea,Protothaca staminea,,1,0.000028
Somateria spectabilis,Somateria spectabilis,,1,0.000019
Zostera marina,Zostera marina,,1,0.000119
Polysticta stelleri,Polysticta stelleri,,1,0.000015
Empetrum nigrum,Empetrum nigrum,,0,0.000104
Emerita analoga,Emerita analoga,,1,0.000104
Limnadia lenticularis,Limnadia lenticularis,,1,0.000015
Ostrea lurida,Ostrea lurida,,1,0.000015
Marmaronetta angustirostris,Marmaronetta angustirostris,,0,0.000014
Sorghum bicolor,Sorghum bicolor,,0,0.000172
Lophodytes cucullatus,Lophodytes cucullatus,,1,0.000014
Perca fluviatilis,Perca fluviatilis,,1,0.000067
Leipoa ocellata,Leipoa ocellata,,0,0.000014
Carthamus lanatus,Carthamus lanatus,,0,0.000015
Triticum aestivum,Triticum aestivum,,0,0.000261
Cassytha melantha,Cassytha melantha,,0,0.000038
Dodonaea bursariifolia,Dodonaea bursariifolia,,0,0.000015
Enchylaena tomentosa,Enchylaena tomentosa,,0,0.000045
Apis mellifera,Apis mellifera,,0,0.000398
Brassica tournefortii,Brassica tournefortii,,0,0.000022
Daucus brachiatus,Daucus brachiatus,,0,0.000015
Hypochaeris radicata,Hypochaeris radicata,,0,0.000104
Silene gallica,Silene gallica,,0,0.000015
Bistorta officinalis,Bistorta officinalis,,0,0.000036
Arctous alpina,Arctous alpina,,0,0.000015
Bistorta vivipara,Bistorta vivipara,,0,0.00003
Dryas octopetala,Dryas octopetala,,0,0.000142
Vaccinium vitis-idaea,Vaccinium vitis-idaea,,0,0.000165
Lupinus arcticus,Lupinus arcticus,,0,0.000014
Hymenolaimus malacorhynchos,Hymenolaimus malacorhynchos,,1,0.000014
Histrionicus histrionicus,Histrionicus histrionicus,,1,0.000014
Pugettia gracilis,Pugettia gracilis,,1,0.000022
Gnorimosphaeroma oregonensis,Gnorimosphaeroma oregonensis,,1,0.000014
Allorchestes malleola,Allorchestes malleola,,1,0.000014
Anisogammarus pugettensis,Anisogammarus pugettensis,,1,0.000014
Locustogammarus locustoides,Locustogammarus locustoides,,1,0.000014
Schizoplax brandtii,Schizoplax brandtii,,1,0.000014
Dendrocygna viduata,Dendrocygna viduata,,0,0.000014
Persicaria lapathifolia,Persicaria lapathifolia,,0,0.000024
Paspalum scrobiculatum,Paspalum scrobiculatum,,0,0.00002
Sesamum triphyllum,Sesamum triphyllum,,0,0.000014
Panicum coloratum,Panicum coloratum,,0,0.000014
Dichrostachys cinerea,Dichrostachys cinerea,,0,0.000062
Ceratophyllum demersum,Ceratophyllum demersum,,0,0.000064
Dendrocygna bicolor,Dendrocygna bicolor,,0,0.000014
Oryza sativa,Oryza sativa,,0,0.000976
Heteranthera limosa,Heteranthera limosa,,0,0.000015
Dendrocygna autumnalis,Dendrocygna autumnalis,,0,0.000014
Physella anatina,Physella anatina,,0,0.000015
Cynodon dactylon,Cynodon dactylon,,0,0.000235
Rhinella marina,Rhinella marina,,0,0.000016
Cyperus rotundus,Cyperus rotundus,,0,0.000103
Fimbristylis littoralis,Fimbristylis littoralis,,0,0.000014
Paspalum plicatulum,Paspalum plicatulum,,0,0.000015
Cyperus articulatus,Cyperus articulatus,,0,0.000016
Paspalum distichum,Paspalum distichum,,0,0.000016
Leersia hexandra,Leersia hexandra,,0,0.000067
Caperonia palustris,Caperonia palustris,,0,0.000014
Sporobolus schoenoides,Sporobolus schoenoides,,0,0.000016
Sorghum halepense,Sorghum halepense,,0,0.000071
Echinochloa crus-galli,Echinochloa crus-galli,,0,0.000056
Falcipennis canadensis,Falcipennis canadensis,,0,0.000018
Chimaphila umbellata,Chimaphila umbellata,,0,0.000014
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,,0,0.000093
Streptopus amplexifolius,Streptopus amplexifolius,,0,0.000015
Cerastium beeringianum,Cerastium beeringianum,,0,0.000014
Larix occidentalis,Larix occidentalis,,0,0.000067
Trifolium repens,Trifolium repens,,0,0.00029
Juniperus scopulorum,Juniperus scopulorum,,0,0.000059
Picea engelmannii,Picea engelmannii,,0,0.000096
Pinus contorta,Pinus contorta,,0,0.000212
Populus tremuloides,Populus tremuloides,,0,0.000438
Pseudotsuga menziesii,Pseudotsuga menziesii,,0,0.000605
Vaccinium membranaceum,Vaccinium membranaceum,,0,0.000014
Rubus chamaemorus,Rubus chamaemorus,,0,0.000057
Tiarella trifoliata,Tiarella trifoliata,,0,0.000018
Cygnus olor,Cygnus olor,,0,0.000014
Membranipora membranacea,Membranipora membranacea,,1,0.000016
Vallisneria americana,Vallisneria americana,,0,0.000046
Ruppia maritima,Ruppia maritima,,1,0.000251
Chara vulgaris,Chara vulgaris,,0,0.000014
Musa x paradisiaca,Musa x paradisiaca,,0,0.000017
Najas flexilis,Najas flexilis,,0,0.000015
Potamogeton richardsonii,Potamogeton richardsonii,,0,0.000049
Potamogeton zosteriformis,Potamogeton zosteriformis,,0,0.000036
Cygnus melancoryphus,Cygnus melancoryphus,,0,0.000014
Ludwigia peploides,Ludwigia peploides,,0,0.000039
Hydrocotyle ranunculoides,Hydrocotyle ranunculoides,,0,0.000017
Limnobium laevigatum,Limnobium laevigatum,,0,0.000017
Egeria densa,Egeria densa,,0,0.000017
Cygnus columbianus,Cygnus columbianus,,0,0.000016
Stuckenia vaginata,Stuckenia vaginata,,0,0.000014
Potamogeton perfoliatus,Potamogeton perfoliatus,,0,0.000016
Vallisneria spiralis,Vallisneria spiralis,,0,0.000016
Persicaria maculosa,Persicaria maculosa,,0,0.000059
Carex disticha,Carex disticha,,0,0.000016
Persicaria amphibia,Persicaria amphibia,,0,0.000097
Rumex crispus,Rumex crispus,,0,0.000059
Glyceria fluitans,Glyceria fluitans,,0,0.000056
Potentilla anserina,Potentilla anserina,,0,0.000016
Deschampsia cespitosa,Deschampsia cespitosa,,0,0.000489
Ranunculus repens,Ranunculus repens,,0,0.000161
Helosciadium nodiflorum,Helosciadium nodiflorum,,0,0.000014
Poa trivialis,Poa trivialis,,0,0.000083
Glyceria maxima,Glyceria maxima,,0,0.000262
Alopecurus geniculatus,Alopecurus geniculatus,,0,0.000028
Agrostis stolonifera,Agrostis stolonifera,,0,0.000042
Rorippa palustris,Rorippa palustris,,0,0.000034
Carex riparia,Carex riparia,,0,0.000202
Solanum tuberosum,Solanum tuberosum,,0,0.000241
Pisum sativum,Pisum sativum,,0,0.000156
Potamogeton illinoensis,Potamogeton illinoensis,,0,0.000032
Plantago media,Plantago media,,0,0.000075
Jacobaea aquatica,Jacobaea aquatica,,0,0.000016
Holcus lanatus,Holcus lanatus,,0,0.00011
Lolium perenne,Lolium perenne,,0,0.000068
Ranunculus ficaria,Ranunculus ficaria,,0,0.000016
Dactylis glomerata,Dactylis glomerata,,0,0.000285
Elymus repens,Elymus repens,,0,0.000131
Phalaris arundinacea,Phalaris arundinacea,,0,0.000163
Cygnus buccinator,Cygnus buccinator,,0,0.000014
Chloephaga rubidiceps,Chloephaga rubidiceps,,0,0.000014
Aira praecox,Aira praecox,,0,0.000024
Gunnera magellanica,Gunnera magellanica,,0,0.00002
Chloephaga picta,Chloephaga picta,,0,0.000014
Cortaderia pilosa,Cortaderia pilosa,,0,0.000015
Trisetum spicatum,Trisetum spicatum,,0,0.000015
Spergula arvensis,Spergula arvensis,,0,0.000053
Chaerophyllum daucoides,Chaerophyllum daucoides,,0,0.000015
Empetrum rubrum,Empetrum rubrum,,1,0.000041
Chloephaga hybrida,Chloephaga hybrida,,1,0.000014
Mazzaella laminarioides,Mazzaella laminarioides,,1,0.000028
Pyropia columbina,Pyropia columbina,,1,0.00002
Chenonetta jubata,Chenonetta jubata,,0,0.000014
Cotula australis,Cotula australis,,0,0.000015
Arctotheca calendula,Arctotheca calendula,,0,0.000035
Capsella bursa-pastoris,Capsella bursa-pastoris,,0,0.000066
Montia fontana,Montia fontana,,0,0.000017
Cerastium fontanum,Cerastium fontanum,,0,0.000043
Chen caerulescens,Chen caerulescens,,0,0.000016
Schoenoplectus americanus,Schoenoplectus americanus,,0,0.000015
Equisetum hyemale,Equisetum hyemale,,0,0.00007
Triglochin palustris,Triglochin palustris,,0,0.000015
Phleum pratense,Phleum pratense,,0,0.000135
Sporobolus pumilus,Sporobolus pumilus,,0,0.000014
Sporobolus alterniflorus,Sporobolus alterniflorus,,0,0.000014
Sagittaria latifolia,Sagittaria latifolia,,0,0.00014
Oxytropis maydelliana,Oxytropis maydelliana,,0,0.000016
Eriophorum scheuchzeri,Eriophorum scheuchzeri,,1,0.000015
Dupontia fisheri,Dupontia fisheri,,0,0.000014
Carex aquatilis,Carex aquatilis,,0,0.00002
Salix arctica,Salix arctica,,0,0.00005
Chamaepetes goudotii,Chamaepetes goudotii,,0,0.000014
Solanum sycophanta,Solanum sycophanta,,0,0.000025
Lycianthes radiata,Lycianthes radiata,,0,0.000014
Palicourea angustifolia,Palicourea angustifolia,,0,0.000027
Ficus andicola,Ficus andicola,,0,0.000014
Prestoea acuminata,Prestoea acuminata,,0,0.000049
Callipepla californica,Callipepla californica,,0,0.000014
Margyricarpus pinnatus,Margyricarpus pinnatus,,0,0.000014
Phaseolus vulgaris,Phaseolus vulgaris,,0,0.00012
Lens culinaris,Lens culinaris,,0,0.000029
Polygonum aviculare,Polygonum aviculare,,0,0.000087
